reviewID,date,verifiedPurchase,rating,helpful,title,review,country,helpful_aug,helpfulness_score,full_text,clean_text,rating_label,predicted_label,label_match,language_flag
R1ASIRA3BE7065,"November 12, 2025",True,5,,Now you see me,"I purchased these for my fiancé, for our anniversary. He absolutely loves them, he said that they are so fun. They are the perfect size for his peanut head. He loves the fact that the lens are so dark and protects his eyes from the sun. The things that you can do with these sunnies are insane. Ray-ban did number with these.",United States,0,4.486595505,"Now you see me I purchased these for my fiancé, for our anniversary. He absolutely loves them, he said that they are so fun. They are the perfect size for his peanut head. He loves the fact that the lens are so dark and protects his eyes from the sun. The things that you can do with these sunnies are insane. Ray-ban did number with these.",now you see me i purchased these for my fianc for our anniversary he absolutely loves them he said that they are so fun they are the perfect size for his peanut head he loves the fact that the lens are so dark and protects his eyes from the sun the things that you can do with these sunnies are insane ray ban did number with these,positive,neutral,False,english_or_unknown
R1W8SXTGV55AUH,"December 7, 2025",True,4,8,"Great smart shades, but need more power",,United States,7,5.926400671,"Great smart shades, but need more power",great smart shades but need more power,positive,positive,True,english_or_unknown
R1X5UFI9SIMEDD,"December 19, 2025",True,5,,Great,Everything thing was great  for this order!!’,United States,0,4.313863212,Great Everything thing was great  for this order!!’,great everything thing was great for this order,positive,positive,True,english_or_unknown
R12V3WYDC232SV,"November 18, 2025",True,5,10,Best action adventure capturing device.,One of the best purchases ever! I have captured so many cool events that I would never have done with a phone. The POV is prefect and you can listen to music the whole time. Sound quality is actually pretty incredible. 10/10. Send it get a pair.,United States,11,7.357264482,Best action adventure capturing device. One of the best purchases ever! I have captured so many cool events that I would never have done with a phone. The POV is prefect and you can listen to music the whole time. Sound quality is actually pretty incredible. 10/10. Send it get a pair.,best action adventure capturing device one of the best purchases ever i have captured so many cool events that i would never have done with a phone the pov is prefect and you can listen to music the whole time sound quality is actually pretty incredible send it get a pair,positive,positive,True,english_or_unknown
R11G1TPE8GOJN2,"July 23, 2025",True,4,2,Sharp sunglasses with cool tech,"Admittedly, I purchased the sunglasses on the sleek style and appearance alone, the technology is a plus. The lenses are clear, but the Ray-Ban logo etching in the corner of the glasses is distracting. The weight of the glasses is nice, but they have a hollow feel to them. I selected the large size and the fit is excellent. The Shiny Caramel color of the glasses looks amazing and suits me perfect! Meta AI integration is an awesome feature, and the battery life is long with infrequent charging. Overall, great product and I would buy it again.",United States,3,4.227217557,"Sharp sunglasses with cool tech Admittedly, I purchased the sunglasses on the sleek style and appearance alone, the technology is a plus. The lenses are clear, but the Ray-Ban logo etching in the corner of the glasses is distracting. The weight of the glasses is nice, but they have a hollow feel to them. I selected the large size and the fit is excellent. The Shiny Caramel color of the glasses looks amazing and suits me perfect! Meta AI integration is an awesome feature, and the battery life is long with infrequent charging. Overall, great product and I would buy it again.",sharp sunglasses with cool tech admittedly i purchased the sunglasses on the sleek style and appearance alone the technology is a plus the lenses are clear but the ray ban logo etching in the corner of the glasses is distracting the weight of the glasses is nice but they have a hollow feel to them i selected the large size and the fit is excellent the shiny caramel color of the glasses looks amazing and suits me perfect meta ai integration is an awesome feature and the battery life is long with infrequent charging overall great product and i would buy it again,positive,positive,True,english_or_unknown
R11G1TPE8GOJN2,"July 23, 2025",True,4,2,Sharp sunglasses with cool tech,"Admittedly, I purchased the sunglasses on the sleek style and appearance alone, the technology is a plus. The lenses are clear, but the Ray-Ban logo etching in the corner of the glasses is distracting. The weight of the glasses is nice, but they have a hollow feel to them. I selected the large size and the fit is excellent. The Shiny Caramel color of the glasses looks amazing and suits me perfect! Meta AI integration is an awesome feature, and the battery life is long with infrequent charging. Overall, great product and I would buy it again.",United States,3,5.898224261,"Sharp sunglasses with cool tech Admittedly, I purchased the sunglasses on the sleek style and appearance alone, the technology is a plus. The lenses are clear, but the Ray-Ban logo etching in the corner of the glasses is distracting. The weight of the glasses is nice, but they have a hollow feel to them. I selected the large size and the fit is excellent. The Shiny Caramel color of the glasses looks amazing and suits me perfect! Meta AI integration is an awesome feature, and the battery life is long with infrequent charging. Overall, great product and I would buy it again.",sharp sunglasses with cool tech admittedly i purchased the sunglasses on the sleek style and appearance alone the technology is a plus the lenses are clear but the ray ban logo etching in the corner of the glasses is distracting the weight of the glasses is nice but they have a hollow feel to them i selected the large size and the fit is excellent the shiny caramel color of the glasses looks amazing and suits me perfect meta ai integration is an awesome feature and the battery life is long with infrequent charging overall great product and i would buy it again,positive,positive,True,english_or_unknown
R1W8SXTGV55AUH,"December 7, 2025",True,4,8,"Great smart shades, but need more power",,United States,7,5.468238331,"Great smart shades, but need more power",great smart shades but need more power,positive,positive,True,english_or_unknown
R2D8KRJ7S91UAD,"December 13, 2025",True,5,,Worth it!,"Love everything this does!!! Only complaint is that I ordered a large and it still feels snug. Maybe it will expand the more I use.<br>Easy set up. Great to use when walking and not needing earphones. Having the hands free to take picture, is amazing.<br>Planning to get other styles.",United States,3,6.024698539,"Worth it! Love everything this does!!! Only complaint is that I ordered a large and it still feels snug. Maybe it will expand the more I use.<br>Easy set up. Great to use when walking and not needing earphones. Having the hands free to take picture, is amazing.<br>Planning to get other styles.",worth it love everything this does only complaint is that i ordered a large and it still feels snug maybe it will expand the more i use easy set up great to use when walking and not needing earphones having the hands free to take picture is amazing planning to get other styles,positive,positive,True,english_or_unknown
R1IGEHI2ZUP523,"December 22, 2025",True,5,,super handy!!,I love these glasses! They're super helpful to use when I don't want to take out my phone. Trying the display ones next!,United States,1,5.056776977,super handy!! I love these glasses! They're super helpful to use when I don't want to take out my phone. Trying the display ones next!,super handy i love these glasses they re super helpful to use when i don t want to take out my phone trying the display ones next,positive,positive,True,english_or_unknown
R205YGPW1B73VY,"December 15, 2025",True,5,3,They’re great!,"Got these for my boyfriend for Christmas. Clearly couldn’t wait until Christmas to give them to him I was too excited plus wanted to give them early incase we needed to return or replace them. He LOVES them, my only regret is not getting the transition lenses because he wants to wear them all the time! They fit great and work great camera quality is actually really good! Would recommend. I plan to purchase some for myself (:",United States,3,5.984164525,"They’re great! Got these for my boyfriend for Christmas. Clearly couldn’t wait until Christmas to give them to him I was too excited plus wanted to give them early incase we needed to return or replace them. He LOVES them, my only regret is not getting the transition lenses because he wants to wear them all the time! They fit great and work great camera quality is actually really good! Would recommend. I plan to purchase some for myself (:",they re great got these for my boyfriend for christmas clearly couldn t wait until christmas to give them to him i was too excited plus wanted to give them early incase we needed to return or replace them he loves them my only regret is not getting the transition lenses because he wants to wear them all the time they fit great and work great camera quality is actually really good would recommend i plan to purchase some for myself,positive,positive,True,english_or_unknown
R24UTND7XPYJSY,"September 18, 2025",True,4,,exelente acesorio,exelente acesorio,United States,0,4.280671742,exelente acesorio exelente acesorio,exelente acesorio exelente acesorio,positive,neutral,False,english_or_unknown
