reviewID,rating,title,review,clean_text,rating_label,predicted_label,verifiedPurchase,mistake_reason
R1LPZH3QJAOVAI,5,Excelentes  a mi esposo le encantan,Excelentes  a mi esposo le encantan,excelentes a mi esposo le encantan excelentes a mi esposo le encantan,positive,neutral,True,non_english_text
R1ASIRA3BE7065,5,Now you see me,"I purchased these for my fiancé, for our anniversary. He absolutely loves them, he said that they are so fun. They are the perfect size for his peanut head. He loves the fact that the lens are so dark and protects his eyes from the sun. The things that you can do with these sunnies are insane. Ray-ban did number with these.",now you see me i purchased these for my fianc for our anniversary he absolutely loves them he said that they are so fun they are the perfect size for his peanut head he loves the fact that the lens are so dark and protects his eyes from the sun the things that you can do with these sunnies are insane ray ban did number with these,positive,neutral,True,needs_manual_review
R1UTS0OJVZF1A1,3,Nice video taking!,"I recently upgraded from the Stories to these glasses, and I have no regrets. The matte black design is absolutely stunning, and the tint change in sunlight works wonders. They fit snugly on my head, slightly bending the glasses out, but they stay in place. They’re comfortable for a few hours, but I need to take them off to give my head a break.<br><br>These glasses are perfect for listening to music secretly and taking hands-free videos and photos. I especially love the touch controls and the Meta AI whenever I’m too busy with my hands. However, the connectivity can be inconsistent. Spotify sometimes doesn’t work, and the Wi-Fi connection for downloading videos doesn’t even establish a connection, forcing me to shut down and restart the glasses.<br><br>Another interesting feature is the light placement. It’s on the right side, middle, inside the right glasses frame. This placement sometimes makes me look in that direction to check if the glasses are listening. In contrast, the light on the Stories glasses was closer to the temples.<br><br>Overall, these glasses are incredibly nice and have received multiple compliments.",nice video taking i recently upgraded from the stories to these glasses and i have no regrets the matte black design is absolutely stunning and the tint change in sunlight works wonders they fit snugly on my head slightly bending the glasses out but they stay in place they re comfortable for a few hours but i need to take them off to give my head a break these glasses are perfect for listening to music secretly and taking hands free videos and photos i especially love the touch controls and the meta ai whenever i m too busy with my hands however the connectivity can be inconsistent spotify sometimes doesn t work and the wi fi connection for downloading videos doesn t even establish a connection forcing me to shut down and restart the glasses another interesting feature is the light placement it s on the right side middle inside the right glasses frame this placement sometimes makes me look in that direction to check if the glasses are listening in contrast the light on the stories glasses was closer to the temples overall these glasses are incredibly nice and have received multiple compliments,neutral,positive,True,needs_manual_review
R1WOST8YTDBB5X,1,Update 2. Device so useless as to be unbelievable.  Software is not ready for Prime Time,"This is an update to an update to an update.  I’ve officially downgraded these glasses to one star. If the Amazon Gods would only let us use negative values I would be even happier. .  After almost 10 days of trying to use these things while on our European vacation, I have to declare them the single most defective, most useless device purchased on Amazon (or anywhere) in a very long time.  I normally carry both an iPhone and iPad with me.  The software is so kludgy that it never knows where or how to connect.  The Ai function does not work at all.  Period.  No amount of fiddling will make it work.  This, in spite of the fact that I’ve tried connecting to the US via a VPN.  To make things worse is the fact that you will often, and unknowingly, begin to take either photos or videos.  I have some stunning photos of my shoes, the carpet, and the bright blue sky. This all happens as you sit in a lounge chair looking goofy because the LED light, which cannot be disabled, blinks to let people know you seem to prefer a video of your shoes rather than the stunning native scenery.  People tend to alternate looking at you as both a pervert and an idiot.  Good grief, I can’t wait to send these things back to Amazon.  The value of this product should be about $10 and be on the rack in the convention store with the other cheap glasses that are more often stolen than purchased.<br><br>  These glasses are so useless as to be really unbelievable.  They will not stay connected to any iOS device.  They constantly lose Bluetooth connectivity.  It seems the Ai function is not available outside the US as it refuses to work in Europe.  The glasses refuse to connect to a European WiFi.  Whatever you do.  Do NOT believe any of the glowing reviews from the YouTube hucksters who are getting free swag and being paid to tout this product.  Take it from me.  These glasses are not going to do what you want them to do.  Rayban you should be ashamed of lending your good name to a carnival side show barker such as Zuckerberg.<br><br>So, while everyone is posting somewhat rave reviews, let’s discuss the cons of owning these glasses.  I bought these glasses for use both on vacation, as well as an addition to my studio cameras that I use for my Edge Of Innovation channel on YouTube.<br><br>The software is wonky. Seemingly it will not pair with two iOS devices.  For example, you cannot pair the device with both your iPhone and IPad.  Once paired there is a goofy, convoluted process to do a full reset of the glasses in order to pair with another device.  Speaking of using with an iPad…there is no iPad specific app for the glasses.  To use the Meta View app one must use the app as an iPhone app in the enlarged view in the portrait mode.  Software this bad from two major companies is simply unacceptable in today’s world.<br><br>As we all know, there is no love lost between Apple and Meta.  This becomes clear when using this device.  It is my greatest hope that Apple will create a competing device and Sherlock this device from Meta.<br><br>I should mention that the only reason this is not a 1-star review is because the glasses themselves are okay as far as actually working as sun glasses.",update device so useless as to be unbelievable software is not ready for prime time this is an update to an update to an update i ve officially downgraded these glasses to one star if the amazon gods would only let us use negative values i would be even happier after almost days of trying to use these things while on our european vacation i have to declare them the single most defective most useless device purchased on amazon or anywhere in a very long time i normally carry both an iphone and ipad with me the software is so kludgy that it never knows where or how to connect the ai function does not work at all period no amount of fiddling will make it work this in spite of the fact that i ve tried connecting to the us via a vpn to make things worse is the fact that you will often and unknowingly begin to take either photos or videos i have some stunning photos of my shoes the carpet and the bright blue sky this all happens as you sit in a lounge chair looking goofy because the led light which cannot be disabled blinks to let people know you seem to prefer a video of your shoes rather than the stunning native scenery people tend to alternate looking at you as both a pervert and an idiot good grief i can t wait to send these things back to amazon the value of this product should be about and be on the rack in the convention store with the other cheap glasses that are more often stolen than purchased these glasses are so useless as to be really unbelievable they will not stay connected to any ios device they constantly lose bluetooth connectivity it seems the ai function is not available outside the us as it refuses to work in europe the glasses refuse to connect to a european wifi whatever you do do not believe any of the glowing reviews from the youtube hucksters who are getting free swag and being paid to tout this product take it from me these glasses are not going to do what you want them to do rayban you should be ashamed of lending your good name to a carnival side show barker such as zuckerberg so while everyone is posting somewhat rave reviews let s discuss the cons of owning these glasses i bought these glasses for use both on vacation as well as an addition to my studio cameras that i use for my edge of innovation channel on youtube the software is wonky seemingly it will not pair with two ios devices for example you cannot pair the device with both your iphone and ipad once paired there is a goofy convoluted process to do a full reset of the glasses in order to pair with another device speaking of using with an ipad there is no ipad specific app for the glasses to use the meta view app one must use the app as an iphone app in the enlarged view in the portrait mode software this bad from two major companies is simply unacceptable in today s world as we all know there is no love lost between apple and meta this becomes clear when using this device it is my greatest hope that apple will create a competing device and sherlock this device from meta i should mention that the only reason this is not a star review is because the glasses themselves are okay as far as actually working as sun glasses,negative,neutral,True,needs_manual_review
R26NJCL81JUD26,5,Todo funciona bien y cumple con todo lo que esperaba,Excelentes,todo funciona bien y cumple con todo lo que esperaba excelentes,positive,neutral,True,non_english_text
R1WOST8YTDBB5X,1,Update 2. Device so useless as to be unbelievable.  Software is not ready for Prime Time,"This is an update to an update to an update.  I’ve officially downgraded these glasses to one star. If the Amazon Gods would only let us use negative values I would be even happier. .  After almost 10 days of trying to use these things while on our European vacation, I have to declare them the single most defective, most useless device purchased on Amazon (or anywhere) in a very long time.  I normally carry both an iPhone and iPad with me.  The software is so kludgy that it never knows where or how to connect.  The Ai function does not work at all.  Period.  No amount of fiddling will make it work.  This, in spite of the fact that I’ve tried connecting to the US via a VPN.  To make things worse is the fact that you will often, and unknowingly, begin to take either photos or videos.  I have some stunning photos of my shoes, the carpet, and the bright blue sky. This all happens as you sit in a lounge chair looking goofy because the LED light, which cannot be disabled, blinks to let people know you seem to prefer a video of your shoes rather than the stunning native scenery.  People tend to alternate looking at you as both a pervert and an idiot.  Good grief, I can’t wait to send these things back to Amazon.  The value of this product should be about $10 and be on the rack in the convention store with the other cheap glasses that are more often stolen than purchased.<br><br>  These glasses are so useless as to be really unbelievable.  They will not stay connected to any iOS device.  They constantly lose Bluetooth connectivity.  It seems the Ai function is not available outside the US as it refuses to work in Europe.  The glasses refuse to connect to a European WiFi.  Whatever you do.  Do NOT believe any of the glowing reviews from the YouTube hucksters who are getting free swag and being paid to tout this product.  Take it from me.  These glasses are not going to do what you want them to do.  Rayban you should be ashamed of lending your good name to a carnival side show barker such as Zuckerberg.<br><br>So, while everyone is posting somewhat rave reviews, let’s discuss the cons of owning these glasses.  I bought these glasses for use both on vacation, as well as an addition to my studio cameras that I use for my Edge Of Innovation channel on YouTube.<br><br>The software is wonky. Seemingly it will not pair with two iOS devices.  For example, you cannot pair the device with both your iPhone and IPad.  Once paired there is a goofy, convoluted process to do a full reset of the glasses in order to pair with another device.  Speaking of using with an iPad…there is no iPad specific app for the glasses.  To use the Meta View app one must use the app as an iPhone app in the enlarged view in the portrait mode.  Software this bad from two major companies is simply unacceptable in today’s world.<br><br>As we all know, there is no love lost between Apple and Meta.  This becomes clear when using this device.  It is my greatest hope that Apple will create a competing device and Sherlock this device from Meta.<br><br>I should mention that the only reason this is not a 1-star review is because the glasses themselves are okay as far as actually working as sun glasses.",update device so useless as to be unbelievable software is not ready for prime time this is an update to an update to an update i ve officially downgraded these glasses to one star if the amazon gods would only let us use negative values i would be even happier after almost days of trying to use these things while on our european vacation i have to declare them the single most defective most useless device purchased on amazon or anywhere in a very long time i normally carry both an iphone and ipad with me the software is so kludgy that it never knows where or how to connect the ai function does not work at all period no amount of fiddling will make it work this in spite of the fact that i ve tried connecting to the us via a vpn to make things worse is the fact that you will often and unknowingly begin to take either photos or videos i have some stunning photos of my shoes the carpet and the bright blue sky this all happens as you sit in a lounge chair looking goofy because the led light which cannot be disabled blinks to let people know you seem to prefer a video of your shoes rather than the stunning native scenery people tend to alternate looking at you as both a pervert and an idiot good grief i can t wait to send these things back to amazon the value of this product should be about and be on the rack in the convention store with the other cheap glasses that are more often stolen than purchased these glasses are so useless as to be really unbelievable they will not stay connected to any ios device they constantly lose bluetooth connectivity it seems the ai function is not available outside the us as it refuses to work in europe the glasses refuse to connect to a european wifi whatever you do do not believe any of the glowing reviews from the youtube hucksters who are getting free swag and being paid to tout this product take it from me these glasses are not going to do what you want them to do rayban you should be ashamed of lending your good name to a carnival side show barker such as zuckerberg so while everyone is posting somewhat rave reviews let s discuss the cons of owning these glasses i bought these glasses for use both on vacation as well as an addition to my studio cameras that i use for my edge of innovation channel on youtube the software is wonky seemingly it will not pair with two ios devices for example you cannot pair the device with both your iphone and ipad once paired there is a goofy convoluted process to do a full reset of the glasses in order to pair with another device speaking of using with an ipad there is no ipad specific app for the glasses to use the meta view app one must use the app as an iphone app in the enlarged view in the portrait mode software this bad from two major companies is simply unacceptable in today s world as we all know there is no love lost between apple and meta this becomes clear when using this device it is my greatest hope that apple will create a competing device and sherlock this device from meta i should mention that the only reason this is not a star review is because the glasses themselves are okay as far as actually working as sun glasses,negative,neutral,True,needs_manual_review
R24UTND7XPYJSY,4,exelente acesorio,exelente acesorio,exelente acesorio exelente acesorio,positive,neutral,True,needs_manual_review
R25H9N3Y8BKRX8,3,"CAUTION, IT MAY NOT WORK IN YOUR REGION","META AI DOESN'T WORK OUT OF SPECIFIC REGIONS. I live in El Salvador. I tried USING a VPN, creating an account for the US, but none of it worked. I can still ask meta for local weather and local time.  I can make and answer phone calls. It reads out loud my WhatsApp messages. That's it. If I try asking for anything else; the response is, “this feature is not yet available in your region."" No translation services. No Spotify; unless, I play it from my phone. Hopefully, service would be available any time in the near future.",caution it may not work in your region meta ai doesn t work out of specific regions i live in el salvador i tried using a vpn creating an account for the us but none of it worked i can still ask meta for local weather and local time i can make and answer phone calls it reads out loud my whatsapp messages that s it if i try asking for anything else the response is this feature is not yet available in your region no translation services no spotify unless i play it from my phone hopefully service would be available any time in the near future,neutral,positive,True,needs_manual_review
R1LPZH3QJAOVAI,5,Excelentes  a mi esposo le encantan,Excelentes  a mi esposo le encantan,excelentes a mi esposo le encantan excelentes a mi esposo le encantan,positive,neutral,True,non_english_text
R1TIQVB9WPFA53,5,Exelente,Exelente,exelente exelente,positive,neutral,True,short_text
