reviewID,date,verifiedPurchase,rating,helpful,title,review,country,helpful_aug,helpfulness_score
R26GJW65W9X4OB,"March 9, 2025",True,4,12,Solid Smart Glasses with Room for Improvement,"The Ray-Ban Meta Glasses in the classic Wayfarer style are an impressive step forward in smart eyewear. The design stays true to the iconic Ray-Ban look, making them stylish and easy to wear daily. The built-in camera and speakers provide a seamless hands-free experience for capturing moments and taking calls without pulling out your phone.<br>The audio quality is surprisingly good for open-ear speakers, and the voice control integration with Meta AI is a useful touch. The camera produces decent-quality photos and videos, making it great for quick captures on the go. Battery life is decent, though frequent use of the camera drains it faster than expected.<br>The main drawbacks are the limited storage, occasional connectivity hiccups, and the fact that privacy concerns might make some hesitant to wear them in public. Also, while the audio is solid, it’s not ideal in noisy environments.<br>Overall, these smart glasses are a stylish and functional accessory for tech enthusiasts, but there’s room for refinement in future versions.",United States,15,6.048931687
R1LPZH3QJAOVAI,"December 4, 2025",True,5,,Excelentes  a mi esposo le encantan,Excelentes  a mi esposo le encantan,United States,2,5.397818807
R1ASIRA3BE7065,"November 12, 2025",True,5,,Now you see me,"I purchased these for my fiancé, for our anniversary. He absolutely loves them, he said that they are so fun. They are the perfect size for his peanut head. He loves the fact that the lens are so dark and protects his eyes from the sun. The things that you can do with these sunnies are insane. Ray-ban did number with these.",United States,0,4.486595505
R1W8SXTGV55AUH,"December 7, 2025",True,4,8,"Great smart shades, but need more power",,United States,7,5.926400671
R1UTS0OJVZF1A1,"October 12, 2025",True,3,5,Nice video taking!,"I recently upgraded from the Stories to these glasses, and I have no regrets. The matte black design is absolutely stunning, and the tint change in sunlight works wonders. They fit snugly on my head, slightly bending the glasses out, but they stay in place. They’re comfortable for a few hours, but I need to take them off to give my head a break.<br><br>These glasses are perfect for listening to music secretly and taking hands-free videos and photos. I especially love the touch controls and the Meta AI whenever I’m too busy with my hands. However, the connectivity can be inconsistent. Spotify sometimes doesn’t work, and the Wi-Fi connection for downloading videos doesn’t even establish a connection, forcing me to shut down and restart the glasses.<br><br>Another interesting feature is the light placement. It’s on the right side, middle, inside the right glasses frame. This placement sometimes makes me look in that direction to check if the glasses are listening. In contrast, the light on the Stories glasses was closer to the temples.<br><br>Overall, these glasses are incredibly nice and have received multiple compliments.",United States,5,3.209701612
R1X5UFI9SIMEDD,"December 19, 2025",True,5,,Great,Everything thing was great  for this order!!’,United States,0,4.313863212
R1H1QHSD9T8Q51,"February 27, 2024",True,3,475,Not really all that much a fan,"I'll probably wind up returning these, as the price point is just too high for the amount of functionality I'm getting out of them.  The concept is pretty good, but the implementation is really quite poor.  The ""smart"" aspects of these glasses include the ability to use an AI voice assistant, the bluetooth headset, and the integrated camera.  The AI assistant is incredibly limited in what it can do -- it cannot open apps, it cannot send e-mails, it cannot read texts that are any longer than a few words, it cannot offer translations (audio or visual), it cannot identify objects you're looking at, it cannot offer directions.  Basically, it can read short texts, respond to them, and transmit your ringtone to your face.  Cool.  I'm sure it has some more functionality, but all the things I've tried to do with it have been met with an, ""I'm sorry, Dave, I can't do that.""  And what it can do, I can do with a basic $25 bluetooth headset.<br><br>The bluetooth audio is kind of cool, and uses bone induction.  I find it a little tickling when I use it for some music.  Kind of a weird feeling.  It's also audible to people around me, whereas my regular bluetooth earbuds are not.  And, of course, if you take your shades off, you lose your audio.  Still, it was nice to hike with a little music going without earbuds -- but I can't wear them to listen to music while waiting for an appointment inside (unless I wanna be the dude who wears shades inside, or pay an arm and a leg for transition lenses).<br><br>The camera had some potential to be a leading feature in the device, but it is severely limited.  You are only going to get one ""lens;"" there's no zooming, there's no adjusting focus, etc.  Spot a really cool bird you want to take a picture of?  You're going to get everything that's in your field of view in that photo, and better hope it's at a position in the field to be in focus.  The videos are limited to 60-seconds for some reason (even though the glasses can hold several such videos?).  And you can only transmit between your phone and the glasses over WiFi, so if you take a bunch of a pictures, you're not going to get to see what you got until you're back on WiFi.  Meh.  I also found the camera timing to be pretty laggy -- obviously saying, ""Hey Meta, take a picture"" takes a few second, but even hitting the button, there's a delay between that and when the picture is taken -- that cool bird is now in a different tree.<br><br>Perhaps the most annoying aspect of the camera are the ""anti creep"" technology incorporated into it.  It has an audible shutter sound when taking a picture, and an incredibly bright LED that glows whenever the camera is in use, including for video.  Neither can be disabled.  I can see the LED out of the corner of my eye, and it's incredibly distracting.  Ironically, the audible sound is itself creepy.  Take a picture with your glasses in a relatively quiet setting, and everyone turns wondering what the guy with the camera glasses is taking a pic of (and half of them assume it was them).  The button to take a picture with the glasses is right at the point I tend to touch to when I adjust the glasses, too, so I have lots of pictures of nothing.<br>The LED video light is so distracting to anyone being recorded -- it's a little like having your flash on when you try to record video.  My fiancee cutting her cake?  ""Can you turn that light in my face off?""<br>For recording things that aren't people, like my dog, or a bike ride, it can also be problematic.  Trying to take a video of my dog playing, who always stops when a camera is aimed at her, she decided ""glowy light on my human's face"" must die.  Hey, I get that there's a fear that people will use these things for nefarious purposes, but ... let's face it, if I wanted to do that -- and I don't -- there are cheaper and easier ways to do it (including the fact that cell phones are so ubiquitous today, they're ignored).<br><br>The charging of these things is just plain silly.  You have to plug the case into a USB-C cord, charge the case, then put your glasses into the case to charge them.  There's no way to directly charge your glasses.  The case holds about three glasses charges (I got about 3-4 hours per charge on the glasses, which isn't much).  So, if you don't have your case with you, you can't charge your glasses.  The day I left the case at home, I had ""nice shades"" that did nothing by lunchtime.  It's one more thing to lose, and the cases is fairly bulky, so not convenient to carry around.  I also can't help but think that charging the battery in the case to charge the battery in the glasses is terribly inefficient.<br><br>Neat novelty toy, but I can't say they warrant the very high price tag.",United States,479,7.933409849
R1H1QHSD9T8Q51,"February 27, 2024",True,3,475,Not really all that much a fan,"I'll probably wind up returning these, as the price point is just too high for the amount of functionality I'm getting out of them.  The concept is pretty good, but the implementation is really quite poor.  The ""smart"" aspects of these glasses include the ability to use an AI voice assistant, the bluetooth headset, and the integrated camera.  The AI assistant is incredibly limited in what it can do -- it cannot open apps, it cannot send e-mails, it cannot read texts that are any longer than a few words, it cannot offer translations (audio or visual), it cannot identify objects you're looking at, it cannot offer directions.  Basically, it can read short texts, respond to them, and transmit your ringtone to your face.  Cool.  I'm sure it has some more functionality, but all the things I've tried to do with it have been met with an, ""I'm sorry, Dave, I can't do that.""  And what it can do, I can do with a basic $25 bluetooth headset.<br><br>The bluetooth audio is kind of cool, and uses bone induction.  I find it a little tickling when I use it for some music.  Kind of a weird feeling.  It's also audible to people around me, whereas my regular bluetooth earbuds are not.  And, of course, if you take your shades off, you lose your audio.  Still, it was nice to hike with a little music going without earbuds -- but I can't wear them to listen to music while waiting for an appointment inside (unless I wanna be the dude who wears shades inside, or pay an arm and a leg for transition lenses).<br><br>The camera had some potential to be a leading feature in the device, but it is severely limited.  You are only going to get one ""lens;"" there's no zooming, there's no adjusting focus, etc.  Spot a really cool bird you want to take a picture of?  You're going to get everything that's in your field of view in that photo, and better hope it's at a position in the field to be in focus.  The videos are limited to 60-seconds for some reason (even though the glasses can hold several such videos?).  And you can only transmit between your phone and the glasses over WiFi, so if you take a bunch of a pictures, you're not going to get to see what you got until you're back on WiFi.  Meh.  I also found the camera timing to be pretty laggy -- obviously saying, ""Hey Meta, take a picture"" takes a few second, but even hitting the button, there's a delay between that and when the picture is taken -- that cool bird is now in a different tree.<br><br>Perhaps the most annoying aspect of the camera are the ""anti creep"" technology incorporated into it.  It has an audible shutter sound when taking a picture, and an incredibly bright LED that glows whenever the camera is in use, including for video.  Neither can be disabled.  I can see the LED out of the corner of my eye, and it's incredibly distracting.  Ironically, the audible sound is itself creepy.  Take a picture with your glasses in a relatively quiet setting, and everyone turns wondering what the guy with the camera glasses is taking a pic of (and half of them assume it was them).  The button to take a picture with the glasses is right at the point I tend to touch to when I adjust the glasses, too, so I have lots of pictures of nothing.<br>The LED video light is so distracting to anyone being recorded -- it's a little like having your flash on when you try to record video.  My fiancee cutting her cake?  ""Can you turn that light in my face off?""<br>For recording things that aren't people, like my dog, or a bike ride, it can also be problematic.  Trying to take a video of my dog playing, who always stops when a camera is aimed at her, she decided ""glowy light on my human's face"" must die.  Hey, I get that there's a fear that people will use these things for nefarious purposes, but ... let's face it, if I wanted to do that -- and I don't -- there are cheaper and easier ways to do it (including the fact that cell phones are so ubiquitous today, they're ignored).<br><br>The charging of these things is just plain silly.  You have to plug the case into a USB-C cord, charge the case, then put your glasses into the case to charge them.  There's no way to directly charge your glasses.  The case holds about three glasses charges (I got about 3-4 hours per charge on the glasses, which isn't much).  So, if you don't have your case with you, you can't charge your glasses.  The day I left the case at home, I had ""nice shades"" that did nothing by lunchtime.  It's one more thing to lose, and the cases is fairly bulky, so not convenient to carry around.  I also can't help but think that charging the battery in the case to charge the battery in the glasses is terribly inefficient.<br><br>Neat novelty toy, but I can't say they warrant the very high price tag.",United States,476,7.394134062
R1YDCJ3C2J9FL8,"September 17, 2025",True,5,30,Incredible product,"I purchase the clear lenses rayban meta just before leaving on vacation and used them often to snap photos and videos on our month away. It wasn't until I returned home that I realized how much incredible footage I took hands free. The quality of the images and videos are so impressive with a really large field of view. There is no way I could have captured so many great moments on our holiday with a conventional camera or phone. Totally unobtrusive hands free operation, just say “hey meta” take a picture or video and the glasses do the rest. I also use them to listen to my music with really good audio quality, especially considering I cant even figure out where the sound is coming from. Meta ai also answers questions and translates several languages, (hopefully meta adds Greek to the translated languages though). These were a great purchase, and cost less than my regular sunglasses that are plastic with no I.Q",United States,28,8.824192759
R1YDCJ3C2J9FL8,"September 17, 2025",True,5,30,Incredible product,"I purchase the clear lenses rayban meta just before leaving on vacation and used them often to snap photos and videos on our month away. It wasn't until I returned home that I realized how much incredible footage I took hands free. The quality of the images and videos are so impressive with a really large field of view. There is no way I could have captured so many great moments on our holiday with a conventional camera or phone. Totally unobtrusive hands free operation, just say “hey meta” take a picture or video and the glasses do the rest. I also use them to listen to my music with really good audio quality, especially considering I cant even figure out where the sound is coming from. Meta ai also answers questions and translates several languages, (hopefully meta adds Greek to the translated languages though). These were a great purchase, and cost less than my regular sunglasses that are plastic with no I.Q",United States,28,7.616245826
